Artist,Nationality,Gender,BeginDate,EndDate,Museum,Ethnicity,SmallMuseum,Race
"""a.r."" group",Polish,Unknown,1929.0,1936.0,Museum of Modern Art,Unknown,No,Unknown
'Abd al-Samad,Unknown,Male,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Other,No,Unknown
(Samuel) Wood Gaylor,Unknown,Male,Unknown,Unknown,Whitney Museum of American Art,Unknown,No,Unknown
11 bit studios,Polish,Unknown,2010.0,0.0,Museum of Modern Art,Unknown,No,Unknown
? Osborne,Unknown,Unknown,Unknown,Unknown,Yale University Art Gallery,Unknown,No,Unknown
A B Norna Hemslojd,Swedish,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
A Balasubramaniam,Indian,Male,Unknown,Unknown,The Phillips Collection,Unknown,Yes,Unknown
A G Fronzoni,Unknown,Male,Unknown,Unknown,Denver Art Museum,Unknown,No,White
"A""kubo SakujirA?",Unknown,Unknown,Unknown,Unknown,Museum of Fine Art Boston,Unknown,No,Asian
"A""oka Michinobu",Unknown,Male,Unknown,Unknown,Museum of Fine Art Boston,Unknown,No,Asian
"A""scar MuA?oz",Unknown,Male,Unknown,Unknown,Museum of Fine Arts Houston,Unknown,No,Unknown
"A""ta Nanpo",Unknown,Male,Unknown,Unknown,Museum of Fine Art Boston,Unknown,No,Asian
A-yvind FahlstrA?m,Unknown,Male,Unknown,Unknown,Museum of Fine Art Boston,Unknown,No,Unknown
A. Agache,French,Male,1843.0,1915.0,Museum of Modern Art,Unknown,No,Unknown
A. Alcorn,American,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
A. Andreas,French,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
A. Becker,German,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
A. Calbet,French,Male,1869.0,1944.0,Museum of Modern Art,Unknown,No,Unknown
A. Clamp,Unknown,Unknown,Unknown,Unknown,Museum of Fine Art Boston,Unknown,No,Unknown
A. D. Coleman,Unknown,Unknown,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,White
A. Donnay,Belgian,Male,1862.0,1921.0,Museum of Modern Art,Unknown,No,Unknown
A. Douglas Nash,Unknown,Male,Unknown,Unknown,Dallas Museum of Art,Unknown,No,White
A. Duplessis,Unknown,Male,Unknown,Unknown,Art Institute of Chicago,Unknown,No,Unknown
A. E. Gallatin,American,Male,1881.0,1952.0,Museum of Modern Art,Unknown,No,Unknown
A. Ellis,Unknown,Unknown,Unknown,Unknown,Museum of Fine Art Boston,Unknown,No,Unknown
A. F. Bargas,Unknown,Male,Unknown,Unknown,Museum of Fine Art Boston,Unknown,No,White
A. F. Gangkofner,German,Unknown,1921.0,0.0,Museum of Modern Art,Unknown,No,Unknown
A. F. Sherman,American,Male,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
A. Foncelle,French,Male,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
A. G. Fronzoni,Italian,Male,1923.0,2002.0,Museum of Modern Art,Unknown,No,Unknown
A. Gisiger,Swiss,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
A. Graves & Cie.,French,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
A. Gromov,Unknown,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
A. H. Staf,American,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
A. J. Lecoutre,Unknown,Unknown,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,Unknown
A. K. Barutchev,Russian,Male,1904.0,1976.0,Museum of Modern Art,Unknown,No,Unknown
A. Karra,Unknown,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
A. L. Dick,Unknown,Male,Unknown,Unknown,Yale University Art Gallery,Unknown,No,Unknown
A. Lawrence Kocher,American,Male,1885.0,1969.0,Museum of Modern Art,Unknown,No,Unknown
A. Le Roy,Unknown,Unknown,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,White
A. M. Armstrong,Unknown,Unknown,Unknown,Unknown,Museum of Fine Art Boston,Unknown,No,Unknown
A. M. Blecker,Unknown,Unknown,Unknown,Unknown,Nelson-Atkins Museum of Art,Unknown,No,Unknown
A. M. Cassandre,French,Male,1901.0,1968.0,Museum of Modern Art,Unknown,No,Unknown
A. Majewski,Unknown,Male,Unknown,Unknown,Detroit Institute of Arts,Unknown,No,White
A. Miller,Unknown,Male,Unknown,Unknown,Yale University Art Gallery,Unknown,No,White
A. Paramonov,Unknown,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
A. Portier,French,Male,1850.0,1874.0,Museum of Modern Art,Unknown,No,Unknown
A. R. de Ycaza,American,Female,1915.0,0.0,Museum of Modern Art,Unknown,No,Unknown
A. Radishchev,Unknown,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
A. Richard Ranft,Swiss,Male,1862.0,1931.0,Museum of Modern Art,Unknown,No,Unknown
A. Rozanova,Unknown,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
A. Salmon,Unknown,Unknown,Unknown,Unknown,Rhode Island School of Design Museum,Unknown,No,Unknown
A. Scharff,Unknown,Unknown,Unknown,Unknown,Yale University Art Gallery,Unknown,No,Unknown
A. Smith,Unknown,Unknown,Unknown,Unknown,Rhode Island School of Design Museum,Unknown,No,White
A. Smolianskii,Unknown,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
A. Strachov,Russian,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
A. Stroo,Unknown,Unknown,Unknown,Unknown,Yale University Art Gallery,Unknown,No,Unknown
A. Stuart-Hill,British,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
A. Taupin,French,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
A. Vabbe,Unknown,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
A. W. B. Lincoln,Unknown,Unknown,Unknown,Unknown,Yale University Art Gallery,Unknown,No,Unknown
A. Wagner,German,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
A. Zeno (Antonio Zeno) Shindler,Unknown,Male,Unknown,Unknown,Denver Art Museum,Unknown,No,White
A.A.P.,American,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
A.K. Burns,American,Non-binary,1975.0,0.0,Museum of Modern Art,Unknown,No,Unknown
A.R. Penck (Ralf Winkler),German,Male,1939.0,2017.0,Museum of Modern Art,Unknown,No,Unknown
A?douard Baldus,Unknown,Male,Unknown,Unknown,Nelson-Atkins Museum of Art,Unknown,No,White
A?douard Boubat,Unknown,Male,Unknown,Unknown,Museum of Modern Art,Unknown,No,White
A?douard FrACdACric Wilhelm Richter,Unknown,Male,Unknown,Unknown,Rhode Island School of Design Museum,Unknown,No,White
A?douard Manet,Unknown,Male,Unknown,Unknown,Dallas Museum of Art,Unknown,No,White
A?douard Vuillard,Unknown,Male,Unknown,Unknown,Detroit Institute of Arts,Unknown,No,White
A?douard-Denis Baldus,Unknown,Male,Unknown,Unknown,Denver Art Museum,Unknown,No,White
A?lvarez Bravo Lola,Unknown,Unknown,Unknown,Unknown,Philadelphia Museum of Art,Unknown,No,Unknown
A?mile Bernard,Unknown,Male,Unknown,Unknown,Detroit Institute of Arts,Unknown,No,White
A?tiene Neurdein,Unknown,Male,Unknown,Unknown,San Francisco Museum of Modern Art,Unknown,No,White
A?tienne Falconet,Unknown,Male,Unknown,Unknown,High Museum of Art,Unknown,No,Unknown
A?tienne Martincourt,Unknown,Unknown,Unknown,Unknown,Detroit Institute of Arts,Unknown,No,White
AA Bronson,Canadian,Male,1946.0,0.0,Museum of Modern Art,Unknown,No,Unknown
AA?da Ruilova,Unknown,Female,Unknown,Unknown,Museum of Contemporary Art,Unknown,No,Unknown
ACT UP (AIDS Coalition to Unleash Power),American,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Aage Helbig Hansen,Danish,Male,1915.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Aarne Aho,Finnish,Male,1904.0,1978.0,Museum of Modern Art,Unknown,No,Unknown
Aaron Bohrod,Unknown,Male,Unknown,Unknown,Detroit Institute of Arts,Unknown,No,White
Aaron Draplin,Unknown,Male,Unknown,Unknown,Rhode Island School of Design Museum,Unknown,No,White
Aaron Johnson,American,Male,1975.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Aaron Kuriloff,American,Unknown,1929.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Aaron Marcus,Unknown,Male,Unknown,Unknown,San Francisco Museum of Modern Art,Unknown,No,White
Aaron Morse,American,Male,1974.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Aaron Morse ,Unknown,Male,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,Unknown
Aaron Pyle,Unknown,Male,Unknown,Unknown,National Gallery of Art,Unknown,No,Unknown
Aaron Siegal,Unknown,Male,Unknown,Unknown,Museum of Modern Art,Unknown,No,Unknown
Aaron Young,American,Male,1972.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Ab van Hanegem,Unknown,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Abastenia St. Leger Eberle,Unknown,Unknown,Unknown,Unknown,Whitney Museum of American Art,Unknown,No,White
Abbate Paolo de Angelis,Unknown,Male,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,Unknown
Abdias Nascimento,Brazilian,Male,Unknown,Unknown,Museum of Modern Art,Unknown,No,Unknown
Abdoulaye Konaté,Malian,Male,1953.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Abdul Mati Klarwein,German,Male,1932.0,2002.0,Museum of Modern Art,Unknown,No,Unknown
Abe Frajndlich,German,Male,1946.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Abe Satoru,Unknown,Male,Unknown,Unknown,Museum of Modern Art,Unknown,No,Unknown
Abe Shiro (pen Name: Suichiku),Japanese,Male,1900.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Abel Barroso,Cuban,Male,Unknown,Unknown,Museum of Modern Art,Unknown,No,Unknown
Abel Bowen,Unknown,Male,Unknown,Unknown,Museum of Fine Arts Houston,Unknown,No,White
Abel Buell,Unknown,Male,Unknown,Unknown,Museum of Fine Art Boston,Unknown,No,White
Abel Nicolas Sollier,Unknown,Male,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,White
Abelardo Morell,Unknown,Male,Unknown,Unknown,The Phillips Collection,Cuban-American,Yes,Unknown
Abigail Perlmutter,American,Female,1950.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Abraham Bauvier,Unknown,Male,Unknown,Unknown,Museum of Fine Art Boston,Unknown,No,Unknown
Abraham Bloemaert,Unknown,Male,Unknown,Unknown,Detroit Institute of Arts,Unknown,No,White
Abraham Bosse,Unknown,Male,Unknown,Unknown,Rhode Island School of Design Museum,Unknown,No,White
Abraham Diepraam,Unknown,Male,Unknown,Unknown,Museum of Fine Art Boston,Unknown,No,White
Abraham Genoels,Unknown,Male,Unknown,Unknown,Detroit Institute of Arts,Unknown,No,White
Abraham Helmhack ,Unknown,Male,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,White
Abraham Janssens,Unknown,Male,Unknown,Unknown,Nelson-Atkins Museum of Art,Unknown,No,White
Abraham Oghobase,Nigerian,Male,Unknown,Unknown,Museum of Modern Art,Unknown,No,Unknown
Abraham P. Hankins,American,Male,1904.0,1963.0,Museum of Modern Art,Unknown,No,Unknown
Abraham Palatnik,Brazilian,Male,Unknown,Unknown,Museum of Modern Art,Unknown,No,Unknown
Abraham Portal,Unknown,Male,Unknown,Unknown,Nelson-Atkins Museum of Art,Unknown,No,White
Abraham Shterenberg,Russian,Male,1894.0,1978.0,Museum of Modern Art,Unknown,No,Unknown
Abraham Zapruder,Unknown,Male,Unknown,Unknown,San Francisco Museum of Modern Art,Unknown,No,White
Abraham van Strij,Unknown,Male,Unknown,Unknown,Rhode Island School of Design Museum,Unknown,No,White
Abram Games,British,Male,1914.0,1996.0,Museum of Modern Art,Unknown,No,Unknown
Abram Krol,French,Male,1919.0,2001.0,Museum of Modern Art,Unknown,No,Unknown
Abu Bakarr Mansaray,Sierra Leonean,Male,Unknown,Unknown,Museum of Modern Art,Unknown,No,Unknown
Abu'l Hasan ,Unknown,Male,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,Asian
Accra Shepp,American,Male,1962.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Acharya Vyakul,Indian,Male,1930.0,2000.0,Museum of Modern Art,Unknown,No,Unknown
Achille Bellanger,Unknown,Male,Unknown,Unknown,"Metropolitan Museum of Art, New York, NY",Unknown,No,White
Achille Mauzan,Italian,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Achille Perilli,Italian,Male,1927.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Achilles Droungas,Greek,Male,1940.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Achilles Lemot,French,Male,1846.0,1909.0,Museum of Modern Art,Unknown,No,Unknown
Acme News Pictures,Unknown,Unknown,1923.0,1952.0,Museum of Modern Art,Unknown,No,Unknown
Ad Gerritsen,Dutch,Male,1940.0,2015.0,Museum of Modern Art,Unknown,No,Unknown
Ad Windig,Unknown,Male,Unknown,Unknown,San Francisco Museum of Modern Art,Unknown,No,White
Ada Tolla,Unknown,Female,Unknown,Unknown,San Francisco Museum of Modern Art,Unknown,No,White
Ada V. Gabriel,American,Female,1898.0,1975.0,Museum of Modern Art,Unknown,No,Unknown
Adachi Yumiko ,Unknown,Unknown,Unknown,Unknown,Los Angeles County Museum of Art,Unknown,No,Asian
Adam Ant (Stuart Leslie Goddard),British,Male,1954.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Adam Bujak,Polish,Male,1940.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Adam Colton,Unknown,Unknown,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Adam Dant,British,Male,1967.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Adam Elsheimer,Unknown,Male,Unknown,Unknown,Nelson-Atkins Museum of Art,Unknown,No,White
Adam Friedman,Unknown,Male,0.0,0.0,Museum of Modern Art,Unknown,No,Unknown
Adam Janes,Unknown,Male,Unknown,Unknown,Museum of Contemporary Art,Unknown,No,White
Adam Jeppesen,Unknown,Male,Unknown,Unknown,Denver Art Museum,Unknown,No,White
