,Artist,Classification,BeginDate,EndDate,Ethnicity,Museum,Gender,SmallMuseum,Nationality,Race,Decade
0,"""a.r."" group",Design,1929.0,1936.0,Unknown,Museum of Modern Art,Unknown,No,Polish,Unknown,1920.0
1,11 bit studios,Design,2010.0,0.0,Unknown,Museum of Modern Art,Unknown,No,Polish,Unknown,2010.0
4,A. Agache,Print,1843.0,1915.0,Unknown,Museum of Modern Art,Male,No,French,Unknown,1840.0
8,A. Calbet,Print,1869.0,1944.0,Unknown,Museum of Modern Art,Male,No,French,Unknown,1860.0
9,A. Donnay,Print,1862.0,1921.0,Unknown,Museum of Modern Art,Male,No,Belgian,Unknown,1860.0
10,A. E. Gallatin,Painting,1881.0,1952.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1880.0
11,A. F. Gangkofner,Design,1921.0,0.0,Unknown,Museum of Modern Art,Unknown,No,German,Unknown,1920.0
14,A. G. Fronzoni,Design,1923.0,2002.0,Unknown,Museum of Modern Art,Male,No,Italian,Unknown,1920.0
19,A. K. Barutchev,Illustrated Book,1904.0,1976.0,Unknown,Museum of Modern Art,Male,No,Russian,Unknown,1900.0
21,A. Lawrence Kocher,Design,1885.0,1969.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1880.0
22,A. M. Cassandre,Design,1901.0,1968.0,Unknown,Museum of Modern Art,Male,No,French,Unknown,1900.0
24,A. Portier,Illustrated Book,1850.0,1874.0,Unknown,Museum of Modern Art,Male,No,French,Unknown,1850.0
25,A. R. de Ycaza,Print,1915.0,0.0,Unknown,Museum of Modern Art,Female,No,American,Unknown,1910.0
27,A. Richard Ranft,Print,1862.0,1931.0,Unknown,Museum of Modern Art,Male,No,Swiss,Unknown,1860.0
36,A.K. Burns,Drawing,1975.0,0.0,Unknown,Museum of Modern Art,Non-binary,No,American,Unknown,1970.0
37,A.R. Penck (Ralf Winkler),Print,1939.0,2017.0,Unknown,Museum of Modern Art,Male,No,German,Unknown,1930.0
38,AA Bronson,Multiple,1946.0,0.0,Unknown,Museum of Modern Art,Male,No,Canadian,Unknown,1940.0
40,Aage Helbig Hansen,Design,1915.0,0.0,Unknown,Museum of Modern Art,Male,No,Danish,Unknown,1910.0
41,Aarne Aho,Print,1904.0,1978.0,Unknown,Museum of Modern Art,Male,No,Finnish,Unknown,1900.0
42,Aaron Curry,Print,1972.0,0.0,Unknown,Museum of Contemporary Art,Male,No,American,White,1970.0
43,Aaron Douglas,Drawing,1899.0,1979.0,Unknown,High Museum of Art,Male,No,American,Black,1890.0
44,Aaron Fink,Print,1955.0,0.0,Unknown,National Gallery of Art,Male,No,American,White,1950.0
45,Aaron Johnson,Drawing,1975.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1970.0
46,Aaron Kuriloff,Print,1929.0,0.0,Unknown,Museum of Modern Art,Unknown,No,American,Unknown,1920.0
47,Aaron Morse,Drawing,1974.0,0.0,Unknown,Museum of Modern Art,Male,No,American,Unknown,1970.0
